customer_tweet_id,customer_text,support_response,gold_intent,gold_escalate,escalation_reason,clean_text,pred_intent,pred_confidence,best_similarity,pred_escalate,human_reviewed
627981,@239834 2 eme étudiant de ma classe qui a ce soucis ! Un tuyau ? @AppleSupport https://t.co/i5n2LE3qyf,@268738 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,other,yes,Insufficient context to safely resolve automatically.,eme tudiant de ma classe qui a ce soucis un tuyau,other,0.6563735481810757,0.2819232935161629,yes,True
335732,@115858 @AppleSupport Emojis not supported on smart invert ?!,@196045 We're here to help. You should still be able to use emojis when using Smart Invert. Are you unable to use them?,device_hardware,no,Issue has sufficient context for an initial automated response.,emojis not supported on smart invert,other,0.7644161502771822,0.3447214814335181,yes,True
848454,@AppleSupport is the option to send an automatic out of office email gone with ios11?,@321632 Thanks for reaching out.  We would love to help.  What type of email account are you using?,how_to,no,Question can receive an initial automated response.,is the option to send an automatic out of office email gone with ios,ios_update,0.9532339266450144,0.274202188902965,yes,True
751782,@AppleSupport The iOS 11.0.2. My battery doesn’t last anymore and I get bugs using a lot of apps. Sometimes the app just stop working or I get stuck on it,@124525 We'll take a look at this with you. Meet us in DM so we can gather more information. https://t.co/GDrqU22YpT,battery_charging,yes,Multiple issues require further troubleshooting.,the ios my battery doesn t last anymore and i get bugs using a lot of apps sometimes the app just stop working or i get stuck on it,battery_charging,0.902958827842976,0.2314008043075342,yes,True
860785,"Par contre, l’iOS 11 ralentit mon téléphone. Je mets 5 minutes à écrire un message... @AppleSupport.",@324391 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,ios_update,yes,Update-related performance issue requires troubleshooting.,par contre l ios ralentit mon t l phone je mets minutes crire un message,ios_update,0.7125538243871143,0.2551732027346666,yes,True
767420,@AppleSupport fix AppleWatch Snapchat icon...it's just gone blank and is really annoying!,@123674 Send us a DM. Let us know more details and the country you're in. https://t.co/GDrqU22YpT,apps,no,App-specific issue with sufficient context for initial support.,fix applewatch snapchat icon it s just gone blank and is really annoying,apps,0.8536774910519495,0.3373994834166216,yes,True
162843,@AppleSupport just purchased IPhone 8 can’t install the IOS update which means I can’t back it up to my i cloud! Any ideas what’s going on?,@153622 We want to help! DM us and let us know more about the issues you are having. We can look more into this issue from there. https://t.co/GDrqU22YpT,ios_update,yes,Update failure with backup impact; further troubleshooting required.,just purchased iphone can t install the ios update which means i can t back it up to my i cloud any ideas what s going on,ios_update,0.8475612698550696,0.3070103285791083,yes,True
1470834,@115858 updated to new iOS and I can barely use my phone because it is lagging so bad. Ready to lose it.,@461406 We're here for you. Please DM us some further details and we can go from there. https://t.co/GDrqU22YpT,ios_update,yes,Update-related performance issue requires troubleshooting.,updated to new ios and i can barely use my phone because it is lagging so bad ready to lose it,ios_update,0.9886892335745744,0.3922204462583333,yes,True
946824,@115858 y’all think Ima update to the iPhone 8 or X well guess what? IM NOT since that damn update my phone been trippin 🙄🖕🏽,"@344529 What's going on, exactly? We'd be happy to help out.",ios_update,no,Issue has sufficient context for an initial automated response.,y all think ima update to the iphone or x well guess what im not since that damn update my phone been trippin,ios_update,0.9755850832569164,0.2806579953186591,yes,True
1646678,Hey @AppleSupport why can’t eye type the letter eye. Fix your stuff,@503132 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,device_hardware,yes,Input/keyboard issue requires further investigation.,hey why can t eye type the letter eye fix your stuff,other,0.7043085442920981,0.7631180784355207,no,True
2123946,@115858 @115858 @AppleSupport my iPhone 6 is still randomly rebooting on iOS 11.1 after extensive troubleshooting with Apple. Any ideas?,@625632 We’d like to learn more about the situation. Can you confirm if you have a recent backup via DM? https://t.co/4f8hwT5to6 https://t.co/GDrqU22YpT,ios_update,yes,Repeated reboot issue after troubleshooting requires escalation.,my iphone is still randomly rebooting on ios after extensive troubleshooting with apple any ideas,ios_update,0.9195454359022738,0.2998336043867525,yes,True
2066354,@AppleSupport Help! My 5s is reverse charging 😱 Updated to 11 a few days ago 😟 It's my only phone 😳,@240578 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT,battery_charging,yes,Charging-related abnormal behavior requires troubleshooting.,help my s is reverse charging updated to a few days ago it s my only phone,battery_charging,0.7747770731861444,0.4522080150472434,yes,True
1773669,"And can we address the issue with solitary I’s on the iPhone?! Why are they turning into a question mark emoji? What’s going on, @115858?!",@533066 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,device_hardware,no,Text/input rendering issue has sufficient context for initial support.,and can we address the issue with solitary i s on the iphone why are they turning into a question mark emoji what s going on,other,0.7088387047479249,0.3583949050310361,yes,True
1616718,@115858 why are you changing everyone’s “I️” to “A ?” like wtf does that even mean,@495779 We've seen the issue you're talking about and we have a workaround for it: https://t.co/xXaXeeSRt9 Did that help?,device_hardware,no,Text/input rendering issue has sufficient context for initial support.,why are you changing everyone s i to a like wtf does that even mean,other,0.7805716692939764,0.3435445392354963,yes,True
1482433,@464216 @115858 @61235 lol same problem,@464619 Reach out to us in DM and let us know which iOS version you have. We'd like to help you too. https://t.co/GDrqU22YpT,other,yes,Insufficient context to safely resolve automatically.,lol same problem,other,0.9485174568039832,0.8176117446015045,no,True
2040816,Lmao now I️ have a black “I️” in my recent emojis because @115858 goofed 😂 fix this man it’s embarrassing,@603424 We'd like to take a closer look at what you're seeing. DM us with what type of device you're using to start. https://t.co/GDrqU22YpT,device_hardware,no,Text/input rendering issue has sufficient context for initial support.,lmao now i have a black i in my recent emojis because goofed fix this man it s embarrassing,other,0.674147736843047,0.4056579217294106,yes,True
557902,All I want to do is charge my phone. But noooo. The new iOS update won’t let me. 🙄🙄 @115858 @AppleSupport,@156557 This is not normal behavior. Let's look into this together. Can you provide us the iOS version on your device? This can be located in Settings &gt; General &gt; About &gt; Version. Which model iPhone are you experiencing this issue with?,battery_charging,yes,Charging issue after an update requires troubleshooting.,all i want to do is charge my phone but noooo the new ios update won t let me,battery_charging,0.6572415016277808,0.4759814050643974,yes,True
2948309,@115858 iphone sucks ass all my apps crash now and i havnt even had this iphone 6s for a year,"@814272 You definitely shouldn't have issues with your apps, you're in the right place for help. To get us started through troubleshooting, are you having issues with all apps such as pre-installed and ones you've download? Also, what iOS version is on the iPhone?",apps,no,App crashes with sufficient context for initial support.,iphone sucks ass all my apps crash now and i havnt even had this iphone s for a year,apps,0.7930498657144307,0.2925892770531573,yes,True
1897893,@AppleSupport hi it's an old iPhone 4s and iOS 7.1.2 . Thanks,@544654 Got it! Does this happen over cellular and Wi-Fi? Have you tried restarting your iPhone 4s to see if the issue persist?,ios_update,no,Question provides sufficient context for an initial response.,hi it s an old iphone s and ios thanks,ios_update,0.9311355327749996,0.5461438704979467,yes,True
2277963,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @115858 fix this shit now,"@366412 We’d like to look into this with you. To start, send us a DM confirming which device and iOS version you’re using. https://t.co/GDrqU22YpT",other,yes,Insufficient actionable context.,i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i fix this shit now,other,0.956160613569329,1.0,no,True
2285859,"@AppleSupport how far, I dey hear the sound of my MacBook Air fan. Why like that ?",@664232 Meet us in DM and we can dig into this with you from there. https://t.co/GDrqU22YpT,device_hardware,yes,Historical resolution indicates further investigation or direct support.,how far i dey hear the sound of my macbook air fan why like that,other,0.3642559222580263,0.3489762323674442,yes,True
412354,@AppleSupport 11.0.2. Haven’t seen them since 11.0.,@213388 Let's look into this together. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,ios_update,yes,Historical resolution indicates further investigation or direct support.,haven t seen them since,other,0.6004793815647403,0.2858621683217003,yes,True
2647371,....@AppleSupport  my 8Plus just started making a crackling noise when trying to watch videos... what Can I do to fix it?! It’s driving me crazy!,"@127941 Hey, let's take a look into that unexpected noise. First, can you tell us if you hear the noise through the speaker or through headphones? Also, what's the exact iOS version currently installed?",device_hardware,yes,Historical resolution indicates further investigation or direct support.,my plus just started making a crackling noise when trying to watch videos what can i do to fix it it s driving me crazy,device_hardware,0.63916230187421,0.3645961081595842,yes,True
2958726,"@AppleSupport Oh, sorry, of course. 
I just asked if it's already possible to charge the #iPhone8 or #iPhoneX wireless? Or do we have to wait for an update?",@816604 Wireless charging is already available on the iPhone 8 and iPhone X. Compatible wireless charging mats are sold separately. Check out this link to learn more: https://t.co/5850eWPUr4 Let us know if you need any other information.,battery_charging,no,Issue has sufficient context for an initial automated response.,oh sorry of course i just asked if it s already possible to charge the iphone or iphonex wireless or do we have to wait for an update,battery_charging,0.8276883119541193,0.2593120342517154,yes,True
487903,@115858 y’all are really pissing me off with I.T changing to I.T,"@231129 You've come to the right place doe help with your iPhone. To get started, can you tell us what iOS version you're using? Here's how to find it: https://t.co/ZTw54HL4Rm",other,no,Issue has sufficient context for an initial automated response.,y all are really pissing me off with i t changing to i t,other,0.7466716675328292,0.5549716137201601,no,True
316112,"@AppleSupport Tired of seeing these boxes with question marks in them. It’s on both of my iphones, so it must be the latest update.","@191475 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",ios_update,no,Issue has sufficient context for an initial automated response.,tired of seeing these boxes with question marks in them it s on both of my iphones so it must be the latest update,ios_update,0.8144830872252696,0.6507961755446312,no,True
842527,@AppleSupport Hi. My music on my iPhone is assuming I need applemusic to play even though all the songs I have downloaded and paid for?,"@122679 We love our music too, so let’s get this working.  Are you a current Apple Music subscriber? Any specific error message?",apple_services,no,Issue has sufficient context for an initial automated response.,hi my music on my iphone is assuming i need applemusic to play even though all the songs i have downloaded and paid for,apps,0.3766504291139348,0.316699505913082,yes,True
1694906,@115858 otherwise it all gets screwed up. This is extremely inconvenient,@514244 Let's see how we can help over Twitter. What's the iPhone model you have? What about the computer model with iTunes?,other,no,Issue has sufficient context for an initial automated response.,otherwise it all gets screwed up this is extremely inconvenient,other,0.6977534946121341,0.3242636286217562,yes,True
1000099,"@AppleSupport my iPhone X keeps getting a ""Could Not Activate iPhone"" error. Is the activation server down?","@356773 Congrats on the new iPhone X! These steps can help with Activation issues: https://t.co/cJ57VP3gxT
DM us if still an issue. https://t.co/GDrqU22YpT",device_hardware,yes,Historical resolution indicates further investigation or direct support.,my iphone x keeps getting a could not activate iphone error is the activation server down,other,0.687988542345185,0.5203730129165959,yes,True
1188322,@AppleSupport Out and about presently will do when back in office. Thank you. Geoff,@399446 No worries. We are here to help.,other,no,Issue has sufficient context for an initial automated response.,out and about presently will do when back in office thank you geoff,other,0.5802845510246586,0.3532675791101863,yes,True
1780297,"@115858 @AppleSupport Con última actualización iOS11.0.3 mi iPhone7 funciona pésimo se actualiza solo, dice no reconocer SIM 👎🏻 https://t.co/8J5G4UlCQw",@534869 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,ios_update,no,Issue has sufficient context for an initial automated response.,con ltima actualizaci n ios mi iphone funciona p simo se actualiza solo dice no reconocer sim,ios_update,0.7964542045551177,0.3087666377387416,yes,True
1650170,@115858 wassup with all these boxes and exclamation points and Shit 👀,@504038 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,other,no,Issue has sufficient context for an initial automated response.,wassup with all these boxes and exclamation points and shit,other,0.8072857940336403,0.5338905655978473,yes,True
2555462,My phone moving like a 🐌 with this recent software update😤 @AppleSupport,"@725650 We'd like to see what we can do to assist. When did this start happening? Just to confirm, are you fully up-to-date running iOS 11.1.1?",ios_update,no,Issue has sufficient context for an initial automated response.,my phone moving like a with this recent software update,ios_update,0.9427159703566064,0.345632957689884,yes,True
228328,"@115858 Moreover, my phone freezes randomly / the playback stops when the notification pops up / many more bugs found on this Beta—@AppleSupport.","@170433 Understood. When you have a moment, please send us over a DM. We'll look into options available there. https://t.co/GDrqU22YpT",other,yes,Historical resolution indicates further investigation or direct support.,moreover my phone freezes randomly the playback stops when the notification pops up many more bugs found on this beta,apps,0.5350662663847743,0.2378487954582301,yes,True
1024353,"@AppleSupport Screen goes dead, apps cut out, can’t hear ppl on phone until rebooted, time&amp;date disappear from lock screen. #iosupdate #sortitout",@362413 We want to help. Meet us in DM and we'll work towards a solution together. https://t.co/GDrqU22YpT,device_hardware,yes,Historical resolution indicates further investigation or direct support.,screen goes dead apps cut out can t hear ppl on phone until rebooted timeanddate disappear from lock screen iosupdate sortitout,device_hardware,0.5323008674743329,0.2389148344486019,yes,True
2004662,@115858 You guys destroyed my phone with these updates I️ have great battery life no problems and now since iOS 11 it’s been pure shit,@592800 We'd like to help out with the concerns mentioned. Can you let us know the device model we are working with? Send us a DM. https://t.co/GDrqU22YpT,battery_charging,yes,Historical resolution indicates further investigation or direct support.,you guys destroyed my phone with these updates i have great battery life no problems and now since ios it s been pure shit,battery_charging,0.8265296297876301,0.3013010235887665,yes,True
1338989,"dear @AppleSupport, can you please sort my notifications by app?",@432332 To submit this suggestion please follow this link: https://t.co/BmYWoY9Vvi,apps,no,Issue has sufficient context for an initial automated response.,dear can you please sort my notifications by app,apps,0.7987208807738893,0.4724540110667707,yes,True
1088882,@376865 @AppleSupport I recently switched from a single plan to a family plan with my fiance. All I can figure is that it only comes up under his now.,@376369 That is entirely possible. Family plans function differently with each carrier.,account_payment,no,Issue has sufficient context for an initial automated response.,i recently switched from a single plan to a family plan with my fiance all i can figure is that it only comes up under his now,other,0.3824313876238297,0.265166743833308,yes,True
2447540,My 6 Plus been acting like a 3GS @115858  fix it plz,"@701596 We'd like to help in any way we can. Please send us a DM with more details, and we'll get started. https://t.co/GDrqU22YpT",device_hardware,yes,Historical resolution indicates further investigation or direct support.,my plus been acting like a gs fix it plz,other,0.7677463310486365,0.3576636943955251,yes,True
1708443,"@AppleSupport Phone alternates between black, Apple logo, and sometimes a horizontal line. It’s being doing this for 3 hrs now.","@517701 Attempt the steps in this article, and let us know your results: https://t.co/8MvHMFZ83h",device_hardware,no,Issue has sufficient context for an initial automated response.,phone alternates between black apple logo and sometimes a horizontal line it s being doing this for hrs now,apps,0.8174979576664189,0.3044358640961907,yes,True
1710751,Please fix iOS 11 update for iPad. I can’t use my iPad as it is full off bugs. PLEASE FIX ASAP @applesupport #iOS11 #Apple,@357408 What's going on exactly? We'd be happy to help.,ios_update,no,Issue has sufficient context for an initial automated response.,please fix ios update for ipad i can t use my ipad as it is full off bugs please fix asap ios apple,ios_update,0.9888648143616244,0.3646026124538639,yes,True
2517113,special shoutout to the new @115858 update for messing up my phone and causing me to lose everything ❤️❤️❤️❤️,@717021 We'd love to see what we can do to retrieve your information. Meet up with us in DM to get started. https://t.co/GDrqU22YpT,ios_update,yes,Historical resolution indicates further investigation or direct support.,special shoutout to the new update for messing up my phone and causing me to lose everything,ios_update,0.9512040432919652,0.3390830825041284,yes,True
2555297,@AppleSupport hi. Why is my music coming up like this. I've downloaded it already https://t.co/brZgMhddnt,@725612 We'd be happy to assist with your music today. Send us a DM to get started. https://t.co/GDrqU22YpT,apple_services,yes,Historical resolution indicates further investigation or direct support.,hi why is my music coming up like this i ve downloaded it already,other,0.661662891929553,0.3359634233684488,yes,True
1795566,@AppleSupport hi my daughter has an iPhone 7 under a year old and her headphones aren’t working do you cover these under warranty?,"@539545 We understand how important the EarPods are and we'll help. To start, please provide us with which country you're in. DM us. https://t.co/GDrqU22YpT",device_hardware,yes,Historical resolution indicates further investigation or direct support.,hi my daughter has an iphone under a year old and her headphones aren t working do you cover these under warranty,other,0.3534670458304101,0.2863364073119265,yes,True
